,aggregate_1,aggregate_2,aggregate_3,aggregate_4,aggregate_5,aggregate_6,aggregate_7,aggregate_8,aggregate_9,aggregate_10,aggregate_11,aggregate_12,hvac_1,hvac_2,hvac_3,hvac_4,hvac_5,hvac_6,hvac_7,hvac_8,hvac_9,hvac_10,hvac_11,hvac_12,fridge_1,fridge_2,fridge_3,fridge_4,fridge_5,fridge_6,fridge_7,fridge_8,fridge_9,fridge_10,fridge_11,fridge_12,wm_1,wm_2,wm_3,wm_4,wm_5,wm_6,wm_7,wm_8,wm_9,wm_10,wm_11,wm_12,furnace_1,furnace_2,furnace_3,furnace_4,furnace_5,furnace_6,furnace_7,furnace_8,furnace_9,furnace_10,furnace_11,furnace_12,dw_1,dw_2,dw_3,dw_4,dw_5,dw_6,dw_7,dw_8,dw_9,dw_10,dw_11,dw_12,dr_1,dr_2,dr_3,dr_4,dr_5,dr_6,dr_7,dr_8,dr_9,dr_10,dr_11,dr_12,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,area,num_rooms,total_occupants
26,534.915893555,408.059631348,401.902648926,501.315460205,972.204406738,1459.76623535,1376.04943848,1734.19555664,1435.45336914,1043.31774902,726.693359375,813.220214844,8.06094074249,2.26819109917,16.5326366425,47.9294433594,252.918914795,624.465026855,639.564880371,821.793701172,582.372009277,263.120178223,47.6716575623,0.548062980175,0.0,0.0,0.0,0.0,0.0,0.0945539996028,0.0,0.0,0.0,0.0,30.697971344,46.7932319641,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0338554382,26.9863109589,0.0,0.0,0.0,0.0,0.0,0.0163880009204,0.0,0.0,0.0,0.0,7.80356121063,10.5904226303,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.102577999234,0.0,0.0,0.0,0.0,46.1503944397,140.311767578,2047.0,6.0,4.0
94,559.812927246,385.641143799,419.379150391,380.643280029,430.320739746,587.913879395,644.695800781,465.078521729,588.891967773,406.837554932,339.011505127,316.998596191,1.13315200806,0.000339999998687,0.0525810010731,1.94191002846,35.3420982361,118.666191101,129.481460571,88.7382354736,104.127075195,25.6043300629,3.37774705887,3.2244579792,48.3241157532,40.6596984863,47.6957435608,49.9066123962,57.8110351562,58.6554908752,61.851524353,64.0620346069,60.3739547729,57.1977233887,47.9228973389,46.7512588501,2.28976392746,0.916231989861,2.47086501122,4.16430330276,1.54771399498,2.11342310905,2.04078197479,1.69704198837,3.41900610924,0.84549498558,4.26057386398,2.0916800499,22.8770866394,13.0824689865,11.8903779984,18.0380382538,18.5330257416,28.6680698395,30.9687652588,23.5153865814,27.2404098511,12.8856945038,10.6612100601,24.7054042816,4.95278024673,1.0578930378,1.95085203648,3.95969104767,4.38972330093,1.52063298225,2.47878694534,0.650335013866,3.0940849781,5.3923830986,2.30440115929,5.24841022491,12.9183511734,9.36740779877,9.1910161972,10.7425889969,11.020980835,6.3555688858,6.49508810043,2.93700504303,9.93204593658,4.26788425446,10.7600650787,17.1886825562,0.0,0.0,0.0,0.0,0.0,0.102577999234,0.0,0.0,0.0,0.0,46.1503944397,140.311767578,1713.0,3.0,2.0
252,1455.10229492,806.494140625,1240.78515625,1385.44580078,2350.59033203,2997.53393555,2261.58813477,2258.89208984,1832.88696289,1322.90307617,1102.99060059,1119.47998047,1.13315200806,0.000339999998687,0.0525810010731,1.94191002846,35.3420982361,118.666191101,129.481460571,88.7382354736,104.127075195,25.6043300629,3.37774705887,3.2244579792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.102577999234,0.0,0.0,0.0,0.0,46.1503944397,140.311767578,2700.0,4.0,4.0
370,879.270324707,807.491271973,756.234924316,771.024353027,1302.82971191,1909.64135742,1948.6895752,2658.14990234,1965.10839844,1365.27941895,964.706359863,762.09362793,1.43208003044,1.45193600655,1.62455403805,2.10760903358,275.581604004,815.937805176,833.662353516,1169.24938965,783.030151367,333.768096924,37.9759941101,1.67703306675,48.1593513489,45.6737632751,47.8109016418,46.7073974609,47.8599662781,44.2533111572,53.1141395569,52.1665916443,49.6650772095,49.9816169739,45.9724197388,7.94981193542,4.97756624222,5.49982309341,6.4215631485,7.1338801384,5.45917606354,5.68599033356,5.40948486328,4.89506530762,3.8436319828,5.21944189072,10.1617164612,1.49353504181,30.081993103,25.1274452209,19.622335434,32.9120864868,95.7402114868,241.520019531,308.036682129,413.595733643,287.24621582,154.779907227,35.1201629639,7.53598117828,17.2137069702,20.5170459747,15.9066619873,12.8609256744,26.1435871124,14.3517570496,9.24679279327,18.5798435211,8.787317276,9.72379589081,16.9679374695,2.65167713165,48.9840202332,61.0372619629,56.9575996399,72.6376190186,62.749042511,71.798789978,59.6843986511,55.2547454834,42.4658126831,46.7699584961,112.047492981,14.7927885056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2682.0,8.0,2.0
410,347.214996338,239.300384521,235.6953125,271.780029297,430.639709473,775.190307617,889.972717285,998.072265625,682.868774414,444.452026367,334.632080078,542.285644531,0.167433008552,0.136815994978,0.949160993099,11.7707834244,145.884658813,459.6378479,511.527160645,589.161743164,333.388153076,101.821739197,0.132464006543,0.159341007471,26.8555965424,24.4879055023,27.7873325348,34.9481582642,43.9401550293,44.9379386902,46.7652320862,49.4038200378,44.7773704529,51.341342926,40.0786743164,49.1758651733,,,,,,,,,,,,,35.0479469299,15.2577724457,12.9442596436,8.5684595108,28.3679847717,75.4300689697,84.1133651733,93.729888916,56.6297035217,19.9620285034,16.8829212189,41.1496734619,,,,,,,,,,,,,107.803634644,68.1294937134,76.2138748169,62.6072273254,17.4479846954,1.42891800404,1.70110499859,48.13621521,51.4464035034,57.3168945312,79.4954147339,88.3503265381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1299.0,8.0,2.0
545,699.864013672,670.649719238,754.993286133,696.883361816,1226.83410645,1940.21508789,1791.53942871,2202.53149414,1438.03234863,1099.36645508,573.181884766,800.50012207,4.56694793701,1.54064202309,32.2791938782,108.417007446,379.72354126,955.640014648,890.840698242,1146.28417969,707.87322998,337.926300049,8.04596424103,1.80631804466,37.5438537598,35.6025924683,41.9303474426,40.2389335632,48.8307991028,53.9377365112,56.7508468628,57.4432373047,50.8983917236,52.1688690186,38.2020759583,28.4170131683,9.41167640686,10.6369342804,12.7620534897,9.10946750641,12.6376981735,13.2664089203,7.24244213104,15.4200878143,6.89319419861,11.1660423279,4.4907541275,10.9136428833,64.0130386353,25.6887512207,34.2506141663,48.8469848633,144.602310181,289.68069458,271.705383301,332.902374268,223.565032959,121.765716553,49.5931663513,91.9996337891,16.5520172119,16.4683933258,18.1248893738,12.4921445847,18.0270900726,15.841501236,12.6292495728,18.67927742,13.1806106567,19.2509021759,8.89873504639,17.1080360413,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2445.0,12.0,2.0
624,509.132843018,258.300506592,239.295806885,266.671600342,368.332214355,613.53717041,808.440368652,768.58013916,602.243774414,389.846801758,406.7762146,727.159973145,178.755523682,8.7733259201,0.000153000000864,10.3613471985,78.7397537231,315.469696045,416.251861572,420.38104248,263.172515869,59.0225563049,73.328704834,190.232437134,29.4299411774,29.8367176056,33.2271308899,35.1390838623,39.6250953674,40.4487113953,39.1233596802,43.9896240234,41.674156189,42.1280250549,31.2605018616,16.8868999481,2.56688094139,2.27759194374,2.08299303055,2.25442099571,2.49993515015,2.02486991882,2.40728497505,2.35246014595,2.43548798561,2.48052096367,2.22244405746,1.13231897354,27.5760231018,15.4277553558,13.4021034241,18.1507987976,27.1548309326,47.5517196655,72.0277633667,60.9927368164,42.518497467,30.8610019684,26.7271957397,24.5199680328,22.1898784637,21.830499649,18.2570304871,22.8358955383,20.8881893158,19.2808055878,14.7384567261,20.9435405731,22.9025192261,20.1369590759,0.869890034199,6.68989133835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.09971904755,0.0974610000849,11.3849172592,69.3731918335,57.415763855,55.0268440247,56.7032623291,65.651008606,59.8840942383,72.0210266113,68.1798934937,79.6134643555,47.6071243286,16.5378379822,9.9491481781,2100.0,7.0,4.0
871,593.218200684,510.632568359,572.938659668,576.606506348,638.709106445,889.021362305,865.280822754,1017.44390869,758.514038086,528.754821777,574.11328125,692.386047363,28.8109035492,26.1160469055,28.8948669434,28.1364631653,81.0820617676,303.241821289,329.422332764,422.175384521,266.699188232,79.8574676514,33.912689209,29.4484195709,35.0636062622,64.7787017822,78.8588867188,78.5475463867,43.6383705139,0.523667991161,0.214285001159,0.704632997513,45.9373855591,68.3160324097,58.5562782288,54.3939323425,1.06773602962,2.06561899185,2.28775811195,3.16716814041,2.2803800106,1.90796101093,1.84706699848,2.41894698143,1.89006006718,1.31869006157,2.09215593338,3.16048693657,14.2952318192,23.5594673157,19.9823951721,14.1886253357,24.1822967529,72.302772522,79.534538269,92.4621887207,64.8102416992,19.8323020935,25.7153224945,47.1081047058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75581645966,11.4817657471,22.4505062103,19.9249687195,19.3538379669,45.6210975647,63.0253601074,63.4202842712,48.5263824463,40.9201049805,34.2613067627,51.981174469,39.6478614807,39.8551063538,67.6257629395,91.0013275146,13.9118146896,33.8252906799,31.6956501007,45.8072166443,59.242893219,70.2065658569,62.7899589539,67.2906570435,15.2242479324,0.0,0.0,0.0,1652.0,8.0,4.0
1169,563.075317383,388.092285156,484.547607422,387.390625,531.063964844,1082.44616699,989.381469727,851.158447266,776.004394531,517.094909668,428.084625244,374.37210083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6843931675,0.788901984692,0.815456032753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.453125,41.6059036255,33.0321388245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152235001326,0.663765013218,0.123929999769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32234406471,13.7607011795,27.7850208282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62111997604,3.2001991272,1.60262405872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.51756286621,11.3467521667,12.3444480896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.20127677917,18.7828063965,15.9828901291,1430.0,6.0,2.0
1283,887.49029541,864.846069336,815.372131348,712.561523438,1104.25756836,1137.18481445,1371.61865234,2111.50805664,1674.86315918,1175.38696289,781.008544922,825.588012695,0.0714510008693,0.0746470019221,9.49007987976,74.5857009888,371.440917969,506.097961426,679.166748047,1222.64916992,886.456604004,423.111114502,31.7783889771,0.108817003667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0448799990118,0.143428996205,0.338232010603,0.263669997454,0.357136011124,0.492711007595,0.292434006929,0.0685269981623,0.417520016432,0.253011018038,0.0869719982147,0.0469370000064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.20127677917,18.7828063965,15.9828901291,2500.0,10.0,5.0
